OBJECTID_1,ProjectID,ProjName,dtmBoardAp,Type,Function_,Program,PrimPurp,PrimGrante,County,WCBFunding,TotalCost,TotalAcres,Comment,OBJECTID,Shape_Leng,Shape__Area,Shape__Length,GlobalID
522,1975005,Hidden Valley Wildlife Area,1975/04/09 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands,California Department of Fish and Wildlife,Riverside,1260000,1255763.7,818, ,527,9197.30766171,4917496.91796875,11099.0153119277,240ae3d4-e53c-4e7c-a4c7-8f8915ce6090
523,1975006,Kinsman Flat Deer Winter Range,1975/04/09 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Madera,42000,40499.5,80, ,528,2470.64028258,542515.078125,3103.94720156294,e54d40c0-be2a-4d12-9e57-f48cff634121
524,1975007,Navarro River & Beach Access,1975/04/09 00:00:00+00,Acquisition,Fee Title,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Mendocino,84500,84126.8,55, ,529,4091.22230219,417792.16796875,5282.11947296341,99576b91-8598-4792-abc2-7cd1d178a8ab
525,1975008,Point Pinole Fishing Pier,1975/04/09 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,East Bay Regional Park District,Contra Costa,0,0,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),530,875.570720965,32859.6328125,1112.49926606722,2e5cb45e-fab3-44f6-844e-853a66323145
526,1975009,Santa Rosa Mtns Bighorn Sheep Habitat,1975/04/09 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Bighorn Sheep Habitat,California Department of Fish and Wildlife,Riverside,362000,358044.44,4753, ,531,49264.1272269,27203745.015625,59145.3724034508,4d385d34-886f-4ef5-a456-aa8ce238e72c
527,1975010,"Trinity River, Lewiston",1975/04/09 00:00:00+00,Acquisition,Fee Title,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Trinity,69000,61875.7,40, ,532,3052.14654286,272252.5078125,4033.83834671647,2c285001-b1e9-4763-9cdc-23f7cb6d1fa6
528,1975011,Eagle Lake Fishing Access - Spalding Tract,1975/11/06 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Lassen,Lassen,60000,110282.68,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),533,306.478000746,9935.625,404.14936219906,7a176a09-27c7-4963-b7db-36d8dc6ba34c
529,1975012,Feather River Parkway,1975/11/06 00:00:00+00,Acquisition,Fee Title,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Sutter,15000,15000,2, ,534,2442.22598038,38167.734375,3147.18368413759,f5757714-f33b-4d07-af7e-2aa573e04d75
530,1975014,Kinsman Flat Deer Winter Range,1975/11/06 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Madera,67750,67750,90, ,535,2445.14466959,590850.078125,3072.75775713542,5cf54271-2637-456b-9888-07ca7dad2a24
531,1975016,Point Pinole Fishing Pier,1975/11/06 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,East Bay Regional Park District,Contra Costa,30200,60400,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),536,875.570720965,32859.6328125,1112.49926606722,35ff46be-e46a-41b6-afc6-c11eec2f4b7d
532,1975017,"Sacramento River Access, Site 21",1975/11/06 00:00:00+00,Development,Public Access,Public Access Program,Riparian Habitat,County of Glenn,Glenn,23000,16512.61,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),537,2279.315821,530892.60546875,2953.01422676361,6b6da187-f69b-4d06-851e-daa79c88afcb
533,1975019,"Trinity River, Indian Ck",1975/11/06 00:00:00+00,Acquisition,Fee Title,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Trinity,10000,9872,5, ,538,785.628329067,22210.46875,1035.96434914812,5801bc77-7208-47a0-9e0a-c4d44f242a2b
534,1976001,Heeser Drive,1976/01/13 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Mendocino,1900,1900,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),539,4359.84864047,140447.23828125,5637.98980392293,eaebcd7f-1a09-4033-9c7e-69e1827ed9a1
535,1976004,70th Street West (Quartz Hill),1976/04/28 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Los Angeles,Los Angeles,33200,33200,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),540,158.957133533,2603.51171875,193.329029698119,20e70bd4-8078-4faa-bc76-46dc01d9af60
536,1976005,Napa River Wildlife Area (Yountville Crossroad),1976/04/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,California Department of Fish and Wildlife,Napa,113500,113500,73, ,541,2518.83315502,466718.47265625,3217.56227161175,b4e3735a-ace3-4ea6-9041-5dbeeb33867e
537,1976006,Santa Rosa Mtns Bighorn Sheep Habitat,1976/04/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Bighorn Sheep Habitat,California Department of Fish and Wildlife,Riverside,314930,1356638,10146, ,542,106688.967861,58536348.9804688,128126.370670961,6de4ec24-8308-4598-bf45-5f2b874ced8a
538,1976007,Point Pinole Fishing Pier,1976/10/08 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,East Bay Regional Park District,Contra Costa,317500,629767.59,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),543,875.570720965,32859.6328125,1112.49926606722,8335dba0-a900-4b78-bb49-7e573d778e1d
539,1976008,Suisun Marsh-Hill Slough Wildlife Area,1976/10/08 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Solano,462350,462350,685, ,544,11477.5153955,3464927.74609375,14621.7496158021,e74087f3-88ec-482b-b7a3-c20981544850
540,1976009,Suisun Marsh-Peytonia Slough Area,1976/10/08 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Solano,559014,914454,295, ,545,5847.80467435,1627568.30859375,7450.40723966108,03d9c936-b674-47aa-98eb-c3e3b174aafc
541,1976010,Black Rock Hatchery Improvements,1976/12/01 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,Inyo,20000,17819.19,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),546,1795.02795069,277122.76953125,2247.66935095985,6d928a83-924f-4675-b67c-b3e3cb3a34c9
542,1976011,Cinder Flats Wildlife Area,1976/12/01 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Shasta,78000,75581.2,718, ,547,7444.63247798,5142969.3671875,9863.80941319892,cdf70398-bc5a-4a48-ae8b-914c7cd166b2
543,1976012,Fay Canyon (Carson Foothill) Deer Winter Range,1976/12/01 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Alpine,112000,112000,366, ,548,9849.25047748,2452472.859375,12658.959703227,ddbd9748-2161-4f11-bdeb-d85fd11b3f34
544,1976014,Mojave River Hatchery Improvements,1976/12/01 00:00:00+00,Development,Infrastructure,Miscellaneous Projects Program,Fish Hatchery,California Department of Fish and Wildlife,San Bernardino,15000,15000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),549,1055.91945808,88185.50390625,1283.26689304482,83b74339-4673-4d59-bd91-f1ef436ee040
545,1977001,70th Street West (Quartz Hill) Fishing Access,1977/03/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access, ,Los Angeles,0,0,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),550,158.957133533,2603.51171875,193.329029698119,fdc549ae-3ebc-4e87-8258-0a8419a9804f
546,1977002,77th Street East Fishing Access,1977/03/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access, ,Los Angeles,8493.73,8493.73,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),551,351.438692808,5584.21875,426.620093294203,6d70be19-c523-4f1e-8cdf-6d710a811045
547,1977003,Anderson Fishing Access Improvements,1977/03/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Anderson,Shasta,22600,18821.31,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),552,248.686550212,5628.76953125,326.825889512528,40f6068e-21a1-48af-a56f-aeafd88560db
548,1977004,Avenue S Fishing Access,1977/03/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Los Angeles,Los Angeles,39895,39895,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),553,283.267874541,5607.78125,344.564157219804,2f76eaf6-3efe-4131-891c-65123e3da68f
549,1977005,Bass Hill Wildlife Area,1977/03/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Lassen,410000,410000,1878, ,554,24531.3090339,12580905.5820313,32192.2876729638,b07f6051-4aed-4543-a6cb-dd31bc412e1b
550,1977006,Battle Creek Fishing Access,1977/03/24 00:00:00+00,Acquisition,Fee Title,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Shasta,56300,41832.39,1, ,555,199.178452579,3250.79296875,261.714310960162,ba2a941e-f589-4959-b896-24d2abe437a9
551,1977007,Clear Lake Highlands Fishing Access Improvements,1977/03/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Lake,Lake,23000,23000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),556,709.938343973,42487.53125,913.190628008197,414e8b80-1dec-4f40-833e-471f64f76abe
552,1977009,Lake Cuyamaca North Shore Improvements,1977/03/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,Lake Cuyamaca Recreation and Park District,San Diego,100000,100000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),557,1142.88548928,32393.078125,1363.78878327813,63f9dbdd-1ce4-4403-8b62-ae637e374901
553,1977010,Longview Road Fishing Access,1977/03/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Los Angeles,Los Angeles,5020.95,5020.95,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),558,879.883188226,23243.15625,1067.56455575674,f61f5fc6-4ed1-4c61-af8b-00b7e27e48d0
554,1977011,Munz Ranch Road Fishing Access,1977/03/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Los Angeles,Los Angeles,39895,39895,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),559,125.427995907,996.8125,152.640205352847,ac190a19-d90f-4384-9efa-86bc6256187f
555,1977012,Napa River Wildlife Area (Yountville Crossroad),1977/03/24 00:00:00+00,Development,Public Access,Public Access Program,Wildlife Related Access,County of Napa,Napa,62500,17501.39,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),560,2518.83315502,466718.47265625,3217.56227161175,01320a08-c386-433b-83a2-068843a95738
556,1977013,San Elijo Lagoon Wildlife Area,1977/03/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,San Diego,920000,920000,268, ,561,13053.423115,3722063.08984375,15580.1550398399,e2d9823b-8b01-4408-854c-45fd84e519f7
557,1977015,"Lake Tahoe FA, Improvements",1977/06/21 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,Tahoe City Public Utility District,Placer,3800,3800,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),562,1186.06970287,58084.78515625,1531.57739931913,75880671-2caf-463a-b77a-f225a3c40eb2
558,1977016,Mt. Shasta Hatchery Expansion,1977/06/21 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Fish Hatchery,California Department of Fish and Wildlife,Siskiyou,21000,19583.3,6, ,563,639.74403717,41379.2109375,851.989515396347,ac062a4a-7adc-4c26-ae7e-b514a021304a
559,1977018,Westgate Landing,1977/06/21 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of San Joaquin,San Joaquin,50150,50150,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),564,842.335852924,33929.26171875,1071.69071610742,8f081948-9844-490c-869b-9a52fb5a8cdc
560,1977019,White House Pool,1977/06/21 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Marin,Marin,54000,53961.97,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),565,1362.06284429,78589.82421875,1730.59124978138,0c3d258d-4a05-4a0b-b2c8-47fb958c511e
561,1977020,Suisun Marsh-Hill Slough Wildlife Area (Change of Scope),1977/09/06 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Solano,1040000,1040000,427, ,566,9764.99464828,2741254.81640625,12439.3306431524,1a299376-d44b-449d-bada-8c9c4592a29f
562,1977023,Emeryville Fishing Pier,1977/09/30 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Emeryville,Alameda,80000,160000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),567,326.443600397,4922.26953125,413.606697526313,b9dba2fb-fc57-476b-aecb-5bcd67894b58
563,1977024,Palo Verde Weir,1977/09/30 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Riverside,Riverside,64300,62434.43,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),568,1951.24204714,64637.3984375,2346.57764477152,9a0b1bb2-d77c-457c-b33a-c2f4b23e8dcb
564,1977025,Pardee Reservoir Improvements,1977/09/30 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,East Bay Municipal Utility District,Amador,54800,54800,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),569,10171.4272821,2405281.51171875,12968.7174434894,e4daa9ce-6f26-41b2-a0a3-e21c7f7f1acd
565,1977026,Rio Vista Riverbank,1977/09/30 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Rio Vista,Solano,7200,7097.86,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),570,111.605954105,452.69921875,142.054051980843,6ab79f93-4c1b-4b8b-a48c-cd027a826272
566,1977027,Samoa Public Access Improvements,1977/09/30 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Humboldt,Humboldt,72500,230698.7,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),571,935.208619921,72490.4609375,1235.7412114484,caeee8e9-441b-46bc-b7cf-7e4e51cefbaf
567,1977028,Santa Rosa Mtns Bighorn Sheep Habitat,1977/09/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Bighorn Sheep Habitat,California Department of Fish and Wildlife,Riverside,5115,251682,1945, ,572,19410.375256,11351556.5273438,23348.9232324212,457f0bf9-991d-4158-bc09-8936de60d634
568,1977029,"Buena Vista Lagoon Exp, Hill Street",1977/12/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,San Diego,750,50200,5, ,573,722.981491503,27041.07421875,865.188444275971,3b590c38-c84d-4ac0-abc7-e983da8ea593
569,1977030,Eel River Public Access - Rio Dell,1977/12/20 00:00:00+00,Acquisition,Fee Title,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Humboldt,750,575,4, ,574,418.610280514,10694.21484375,550.455653076112,77fcf74c-5586-436b-86b0-12a4ced094ee
570,1977031,"Sacramento River, Jacinto",1977/12/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,California Department of Fish and Wildlife,Glenn,118000,118000,201, ,575,5002.07172985,1373419.09375,6497.58382299237,795fcbd1-29b7-439d-be05-6770eb6c9c6a
571,1977032,Truckee River,1977/12/20 00:00:00+00,Acquisition,Fee Title,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Nevada,359000,359000,661, ,576,18439.1108255,4692188.26953125,23861.576345463,9363db69-7c6b-4194-9b29-1396bcf0ad0d
572,1977035,Hogback Island Public Access,1977/06/21 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Sacramento,Sacramento,25000,25000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),577,1119.07486129,76514.33984375,1425.73382650963,ba27aee4-6e9c-4ae8-b76e-2b8b85d3d710
573,1978001,Batiquitos Lagoon,1978/03/06 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,San Diego,283000,283000,134.76, ,578,6959.9160205,1210972.33984375,8323.6956160594,333a7c40-59d7-4544-8a0f-b827e7d18dee
574,1978002,"Buena Vista Lagoon Exp, Hill Street",1978/03/06 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,San Diego,300,250.37,2.6, ,579,558.043111356,6459.55078125,668.842125302351,fd4480af-bee9-400b-b038-4b30178834ed
575,1978004,Day Island Wildlife Area,1978/03/06 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Marin,467000,465000,127, ,580,4699.57170233,1042784.828125,5977.62414068233,af4416a0-5f1f-4918-91d3-308c99a958fe
576,1978005,Little Lake Wildlife Area,1978/03/06 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,California Department of Fish and Wildlife,Inyo,197000,197000,346, ,581,7947.25495908,2389293.921875,9830.07622844177,9aaf9415-f01d-40f0-969b-e19b2b33be4b
577,1978006,Paradise Beach Fishing Pier Recon,1978/03/06 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Marin,Marin,21000,21000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),582,292.566270448,3093.8359375,371.09475833497,b1ab79a4-a003-4944-ba84-aee844543947
578,1978007,San Clemente Fishing Pier,1978/03/06 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of San Clemente,Orange,219000,438000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),583,872.583932443,16983.9375,1045.87344404953,9167a419-a58d-486e-87dd-d99f5d88b3ae
579,1978008,Surprise Valley Deer Winter Range,1978/03/06 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Modoc,98000,98000,419, ,584,6235.44451429,3042442.8515625,8309.39833914929,74f03824-c796-4bd1-94d4-818e2eb9c233
580,1978009,Truckee River (Polaris),1978/03/06 00:00:00+00,Acquisition,Fee Title,Public Access Program,Fishing Access,California Department of Fish and Wildlife,Placer,242000,242000,81, ,585,5942.41900497,578059.41796875,7684.7814570796,d750df66-3a81-43e8-ae38-84645727462b
581,1978010,Cottonwood Creek Wildlife Area,1978/04/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Oak Woodland/Oak Savannah Habitat,California Department of Fish and Wildlife,Merced,722000,710937,6136, ,586,37150.2931777,40786854.1132813,46605.850913156,0fe2430e-9e3d-4f12-a99c-5d2ab2220fc5
582,1978012,"Lake Tahoe FA, Improvements",1978/04/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,Tahoe City Public Utility District,Placer,49100,40376.16,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),587,1186.06970287,58084.78515625,1531.57739931913,0a6b3b14-461c-438d-9b0a-e7f132995770
583,1978013,Navarro River & Beach Access,1978/04/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Mendocino,Mendocino,7000,3165.67,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),588,4091.22230219,417792.16796875,5282.11947296341,9c3cea4c-c4e7-4fcc-8d06-13136cbf8c47
584,1978014,Peck Lake,1978/04/24 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Los Angeles,Los Angeles,293500,291411.36,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),589,3613.67861135,880244.35546875,4369.94525769864,7b6076fa-7d83-4827-a633-bfb4e6c6a5e4
585,1978015,"Sacramento River, Mouth of Pine Creek",1978/04/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,California Department of Fish and Wildlife,Butte,78000,78000,112, ,590,2739.76802683,764800.65234375,3563.42110940335,624d745c-8359-4695-bb13-4750908f03b9
586,1978016,"Sacramento River, Shannon Slough",1978/04/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,California Department of Fish and Wildlife,Glenn,101500,101500,150, ,591,3689.45738697,978034.8046875,4793.98238756102,4dee5b48-4d2a-4234-ae6a-5a504b64fefb
587,1978017,Slinkard/Little Antelope Valley Wildlife Area,1978/04/24 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Sierra,1920000,1920000,10544, ,592,99804.7070621,72960618.5117188,127745.18732251,2d3675f8-3b30-43bb-a055-19e2d015abdf
588,1978018,Petaluma Marsh,1978/06/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Marin,900000,900000,1844, ,593,18437.229269,13630979.953125,23474.1156651525,d6461b9c-5fa6-46ca-a906-ea1154089a0f
589,1978019,"Putah Creek, Cold Canyon",1978/06/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,California Department of Fish and Wildlife,Yolo,90000,90000,181, ,594,6181.9066118,1158686.33984375,7907.89189259034,9b52d169-9500-4752-83f9-54b241fdc223
590,1978020,Santa Rosa Mtns Bighorn Sheep Habitat,1978/06/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Bighorn Sheep Habitat,California Department of Fish and Wildlife,Riverside,409900,588523,7675, ,595,76477.0477085,44717295.2890625,91918.0009853799,85a0c09a-e188-438f-b9c7-e8e25a254b89
591,1978021,"Suisun Marsh-Grizzly Island Wildlife Area, Delta-Development",1978/06/22 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands, ,Solano,91200,91200,300,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),596,5215.72891565,2561720.69140625,6636.04367208164,f353695d-c595-421a-a887-e98d81177042
592,1978022,Duck Creek Wildlife Area,1978/10/11 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Grasslands/Upland Habitat,California Department of Fish and Wildlife,San Joaquin,400,307300,2560, ,597,14548.5960871,20063605.21875,18507.7636589544,e492f4f9-2d28-4408-8f17-e8c34897a34c
593,1978024,Lagoon Valley Public Fishing Lake,1978/10/11 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Solano,Solano,440500,880500,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),598,3126.94168434,523821.46875,3990.12358018117,c664a0f1-bfd3-475a-98ee-53e686abe610
594,1978025,Rio Vista Fishing Pier,1978/10/11 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,California Department of Water Resources,Solano,71000,123900,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),599,256.445988907,5076.49609375,326.470875936124,45f98112-67b1-4b0a-9751-b05199809971
595,1978026,Suisun Marsh-Hill Slough Wildlife Area,1978/10/11 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Solano,17000,17000,12, ,600,547.157386684,30371.2734375,697.17810583138,e1a1d0b4-a8ab-4768-aad2-1c9b222d0fd3
596,1979001,Alameda-San Francisco Bay Access,1979/02/07 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Alameda,Alameda,150000,455000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),601,1545.46239849,45938.1640625,1957.21539195746,aef97b2a-3a94-41c6-a350-d51f409dc1d0
597,1979002,Antioch Bridge Fishing Pier,1979/02/07 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,East Bay Regional Park District,Contra Costa,300000,300000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),602,256.953474021,4051.44921875,326.549824900341,d6b5484c-ab51-4b59-9b97-8017c862a136
598,1979003,"Buena Vista Lagoon Exp, Hill Street",1979/02/07 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,San Diego,0,50000,5, ,603,722.981491503,27041.07421875,865.188444275971,99c1e213-9300-4e8f-9ced-4f81787532c7
599,1979004,Lower Sherman Island Public Access,1979/02/07 00:00:00+00,Development,Infrastructure,Public Access Program,Fishing Access,County of Sacramento,Sacramento,24250,23740.43,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),604,16758.484669,20626896.1796875,21297.1495128923,50c81a05-4eb0-4662-ad55-9933ed8a1322
600,1979005,"Napa Marsh Wildlife Area, Fagan Slough",1979/02/07 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Napa,106540,106540,292, ,605,4736.99195462,2040962.34375,6033.80106983646,98a3cb8c-5a5a-42cc-b52b-5c2c2a5c24be
601,1979006,"Napa Marsh Wildlife Area, White Slough",1979/02/07 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,California Department of Fish and Wildlife,Sonoma,1825,41825,38, ,606,1740.9921835,224879.09765625,2215.48590562135,86dcfe7d-66a7-417b-a807-1099129b1000
